Timestamp,MPU1_Accel_X,MPU1_Accel_Y,MPU1_Accel_Z,MPU1_Gyro_X,MPU1_Gyro_Y,MPU1_Gyro_Z,MPU2_Accel_X,MPU2_Accel_Y,MPU2_Accel_Z,MPU2_Gyro_X,MPU2_Gyro_Y,MPU2_Gyro_Z,Temp_C,Temp_F,Humidity,Gas_Analog,Gas_Digital
2026-07-18T17:56:56.586Z,6372,2576,17084,1924,-1106,527,4220,1768,17684,281,-3066,1028,26.09,78.962,68,226,1
2026-07-18T17:56:56.763Z,3720,788,16280,2030,-442,-392,4636,808,14760,164,-453,-105,26.1,78.98,67.99,227,1
2026-07-18T17:56:57.239Z,3792,836,17704,1941,-133,-75,4396,860,16156,103,-46,225,26.09,78.962,67.97,225,1
2026-07-18T17:56:57.667Z,3384,608,17536,1968,-71,-317,4364,592,15544,99,61,-42,26.1,78.98,67.96,225,1
2026-07-18T17:56:58.022Z,3484,536,17636,1935,-67,-330,4516,616,15584,76,61,-6,26.09,78.962,67.92,225,1
2026-07-18T17:56:58.264Z,3560,576,17464,1999,21,-341,4392,660,15596,95,66,-31,26.1,78.98,67.89,225,1
2026-07-18T17:56:58.804Z,3576,548,17468,1978,-49,-318,4416,640,15672,86,94,-48,26.07,78.926,67.85,223,1
2026-07-18T17:56:58.986Z,3548,576,17540,2006,-17,-325,4456,580,15672,124,64,-32,26.07,78.926,67.83,225,1
2026-07-18T17:56:59.521Z,3516,536,17556,2023,-15,-316,4416,540,15612,77,100,22,26.09,78.962,67.83,225,1
2026-07-18T17:57:00.182Z,3568,572,17488,1984,-19,-356,4472,580,15588,61,76,-47,26.09,78.962,67.83,226,1
2026-07-18T17:57:00.422Z,3484,636,17428,2001,-25,-379,4464,604,15444,68,119,-44,26.09,78.962,67.86,225,1
2026-07-18T17:57:00.665Z,2736,588,18600,2197,-996,-188,4384,696,16012,161,-93,177,26.09,78.962,67.99,225,1
2026-07-18T17:57:00.963Z,4300,752,17524,1879,756,-760,5024,852,15552,-52,579,-464,26.09,78.962,67.97,225,1
2026-07-18T17:57:01.143Z,3332,732,18224,2550,1403,-2311,4164,716,16284,310,1440,-2098,26.1,78.98,68,225,1
2026-07-18T17:57:01.321Z,768,412,19068,2332,2867,-135,2188,324,16992,330,3203,141,26.09,78.962,67.99,225,1
2026-07-18T17:57:01.442Z,992,568,17860,2131,492,-332,1876,436,16056,185,665,-4,26.09,78.962,67.97,223,1
2026-07-18T17:57:01.563Z,808,700,17704,1820,-968,-382,1796,468,16040,-48,-890,-61,26.1,78.98,67.99,225,1
2026-07-18T17:57:01.802Z,-3844,1176,15296,1721,-5610,-536,-3392,532,14724,114,-5913,-146,26.1,78.98,67.97,228,1
2026-07-18T17:57:02.043Z,620,972,17580,1647,-7269,-1799,1456,836,15904,4,-6761,-1419,26.09,78.962,67.92,225,1
2026-07-18T17:57:02.286Z,-4424,932,17756,3025,3814,-699,-3360,460,15724,892,4039,-528,26.09,78.962,67.89,226,1
