Timestamp,,,Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps)
2026-07-18T11:40:01.290Z,,,10.5,21.4,-3.2
2026-07-18T11:40:01.448Z,,,18.3,6.2,-3.2
2026-07-18T11:40:01.605Z,,,13,29.2,-1.3
2026-07-18T11:40:01.763Z,,,12.5,-2.4,0.8
2026-07-18T11:40:01.924Z,,,19.5,17.9,-3.3
2026-07-18T11:40:02.080Z,,,7.3,3.5,0
2026-07-18T11:40:02.236Z,,,18.5,10.2,-4.5
2026-07-18T11:40:02.393Z,,,6,42.3,-5
2026-07-18T11:40:02.552Z,,,23.3,33.8,-5.6
2026-07-18T11:40:02.709Z,,,3.2,23.8,0.4
2026-07-18T11:40:02.862Z,,,8.5,15.5,3.3
2026-07-18T11:40:03.028Z,,,15.3,6,-4.9
2026-07-18T11:40:03.182Z,,,7.1,20.2,0.8
2026-07-18T11:40:03.341Z,,,13.6,10.7,-2.8
2026-07-18T11:40:03.499Z,,,18,12.4,-3.4
2026-07-18T11:40:03.654Z,,,9.6,-13.8,1.6
2026-07-18T11:40:03.817Z,,,16.4,-62.7,-0.4
2026-07-18T11:40:03.977Z,,,12.8,-8.1,-2.3
2026-07-18T11:40:04.134Z,,,13.1,-21.2,2.3
2026-07-18T11:40:04.290Z,,,16.3,-47.7,-1.5
2026-07-18T11:40:04.449Z,,,32.5,-27.3,-16.6
2026-07-18T11:40:04.613Z,,,11.5,-24.5,-2.2
2026-07-18T11:40:04.771Z,,,26,-29.9,-12.6
2026-07-18T11:40:04.932Z,,,15.8,-6.9,-2.4
2026-07-18T11:40:05.088Z,,,15.7,-16.7,-8.3
2026-07-18T11:40:05.247Z,,,18.1,-10.9,-2.1
2026-07-18T11:40:05.410Z,,,15,-8.7,-3.4
2026-07-18T11:40:05.568Z,,,15.5,-1.3,-2.4
2026-07-18T11:40:05.729Z,,,11.9,-11.2,-9
2026-07-18T11:40:05.886Z,,,18,-11.5,-3.1
2026-07-18T11:40:06.046Z,,,15.3,-5.4,-2.3
2026-07-18T11:40:06.206Z,,,15,-3.2,-2.7
