Timestamp,Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps)
2026-07-18T11:40:25.347Z,29.4,-26.7,5.3
2026-07-18T11:40:25.507Z,24.8,-4.7,-6.4
2026-07-18T11:40:25.658Z,14.1,20.6,-1.3
2026-07-18T11:40:25.821Z,9.9,-30.5,-3.1
2026-07-18T11:40:25.974Z,12,11.4,-5.2
2026-07-18T11:40:26.128Z,16,-11.6,-2.7
2026-07-18T11:40:26.290Z,18.7,6.5,-6
2026-07-18T11:40:26.444Z,15.9,-5.7,-5.3
2026-07-18T11:40:26.598Z,15.5,8,-2.9
2026-07-18T11:40:26.755Z,13.2,22.2,-3.6
2026-07-18T11:40:26.909Z,14,16.4,-4
2026-07-18T11:40:27.064Z,12.7,53.1,-4.8
2026-07-18T11:40:27.222Z,8.5,11.9,-0.3
2026-07-18T11:40:27.375Z,22.5,32,2.1
2026-07-18T11:40:27.533Z,23,-8.8,-9.6
2026-07-18T11:40:27.686Z,23.4,23.7,-1.2
2026-07-18T11:40:27.845Z,1.5,-25.2,-2.5
2026-07-18T11:40:28.000Z,26.5,-18.1,0.2
2026-07-18T11:40:28.159Z,7.7,7.6,-2.3
2026-07-18T11:40:28.315Z,17.9,-65.3,-0.7
2026-07-18T11:40:28.469Z,13.4,-37.7,0.2
2026-07-18T11:40:28.627Z,7,-30.9,-1.7
2026-07-18T11:40:28.784Z,14.8,-28.5,-2
2026-07-18T11:40:28.944Z,22.4,-24.1,-0.7
2026-07-18T11:40:29.097Z,22.2,-31,-2.1
2026-07-18T11:40:29.252Z,17.9,8,-6.2
2026-07-18T11:40:29.405Z,17.4,-22.7,-5
2026-07-18T11:40:29.564Z,11.3,-21.1,0.1
2026-07-18T11:40:29.723Z,13.9,5.3,-1.2
2026-07-18T11:40:29.876Z,10.7,-15.6,1.5
2026-07-18T11:40:30.033Z,11.2,-29.8,-2.9
2026-07-18T11:40:30.186Z,13,-14.1,4.1
2026-07-18T11:40:30.340Z,12.8,0.3,-2.6
2026-07-18T11:40:30.499Z,18.2,10.7,-1.6
2026-07-18T11:40:30.654Z,20.3,38.9,-4.5
2026-07-18T11:40:30.811Z,18.4,31.4,1.9
2026-07-18T11:40:30.964Z,22.1,50.2,3
2026-07-18T11:40:31.123Z,58,28.6,0.6
2026-07-18T11:40:31.277Z,3.4,30.3,-1.4
2026-07-18T11:40:31.431Z,6.6,28.3,-8.7
2026-07-18T11:40:31.586Z,19.9,50.4,-2.2
2026-07-18T11:40:31.742Z,29.2,-18.3,9.1
2026-07-18T11:40:31.897Z,21,21.7,-8
2026-07-18T11:40:32.058Z,-6.7,-6.5,-1
2026-07-18T11:40:32.210Z,14.9,18,-8.4
2026-07-18T11:40:32.364Z,18,4.4,-1.5
2026-07-18T11:40:32.520Z,19.3,4.8,1
2026-07-18T11:40:32.675Z,7.2,-27.5,-4.2
2026-07-18T11:40:32.831Z,22.7,12.3,-2
2026-07-18T11:40:32.986Z,11.6,-79.5,4.7
2026-07-18T11:40:33.147Z,9.3,-31.5,-6.1
2026-07-18T11:40:33.298Z,16.5,-35.2,-3.5
2026-07-18T11:40:33.455Z,12.4,-23.6,-7.9
2026-07-18T11:40:33.615Z,7.5,-14.1,-4.5
2026-07-18T11:40:33.769Z,14.4,-6.5,-0.9
2026-07-18T11:40:33.926Z,11.5,-21.7,-1.9
2026-07-18T11:40:34.086Z,13.2,-11.8,-2.2
2026-07-18T11:40:34.243Z,14,-15.4,-6.7
2026-07-18T11:40:34.396Z,12.8,3.5,-2.3
2026-07-18T11:40:34.551Z,10.4,-7.5,-2.7
2026-07-18T11:40:34.713Z,15.8,-1.6,-3
2026-07-18T11:40:34.864Z,14.9,-9.2,-4.4
2026-07-18T11:40:35.022Z,8.4,-4.6,-0.6
2026-07-18T11:40:35.181Z,13.9,-2.9,-0.5
2026-07-18T11:40:35.336Z,17.4,-5.7,-4.6
2026-07-18T11:40:35.498Z,10.5,-9.7,-3.5
2026-07-18T11:40:35.654Z,12.8,-6.8,-3.1
