Timestamp,MPU1_Accel_X,MPU1_Accel_Y,MPU1_Accel_Z,MPU1_Gyro_X,MPU1_Gyro_Y,MPU1_Gyro_Z,MPU2_Accel_X,MPU2_Accel_Y,MPU2_Accel_Z,MPU2_Gyro_X,MPU2_Gyro_Y,MPU2_Gyro_Z,Temp_C,Temp_F,Humidity,Gas_Analog,Gas_Digital
2026-07-18T17:53:23.765Z,3220,560,17632,1938,-47,-350,4116,564,15648,35,85,-14,25.49,77.882,68.57,243,1
2026-07-18T17:53:23.885Z,3172,552,17568,2022,-2,-355,4184,648,15708,76,57,-7,25.49,77.882,68.61,242,1
2026-07-18T17:53:24.427Z,3236,544,17544,2019,11,-369,4140,564,15600,61,105,-72,25.49,77.882,68.61,242,1
2026-07-18T17:53:24.551Z,3268,488,17480,1980,-1,-319,4248,616,15716,75,96,-11,25.49,77.882,68.59,242,1
2026-07-18T17:53:24.672Z,3168,596,17652,2023,-3,-335,4156,592,15732,90,109,-20,25.49,77.882,68.59,242,1
2026-07-18T17:53:24.850Z,2724,248,17784,1969,0,-60,3848,204,16012,43,-25,258,25.49,77.882,68.61,241,1
2026-07-18T17:53:25.327Z,5232,208,16092,1357,-3938,-760,7584,120,13832,-238,-2148,-419,25.49,77.882,68.62,242,1
2026-07-18T17:53:25.689Z,7080,52,16144,1129,-6462,-826,8384,184,14484,-540,-5069,-352,25.49,77.882,68.63,241,1
2026-07-18T17:53:25.808Z,8228,20,15012,1723,-5368,-623,8892,276,13228,62,-4654,-171,25.49,77.882,68.65,241,1
2026-07-18T17:53:25.930Z,9580,520,14688,1043,-947,-665,9936,860,12492,-706,-1244,-285,25.49,77.882,68.65,241,1
2026-07-18T17:53:26.108Z,7344,-708,18136,1997,1758,-1873,8952,128,14180,-449,1163,-1513,25.52,77.936,68.66,242,1
2026-07-18T17:53:26.349Z,9552,504,17328,2102,-1007,-439,10816,832,14400,203,-722,-125,25.49,77.882,68.71,241,1
2026-07-18T17:53:26.526Z,9516,436,15712,1872,-878,-199,10288,884,13192,47,-870,119,25.49,77.882,68.77,242,1
2026-07-18T17:53:27.606Z,9820,408,15384,1972,-61,-302,10432,864,12952,112,-68,-4,25.5,77.9,68.77,241,1
2026-07-18T17:53:27.909Z,9748,168,15364,2008,-472,-349,10444,672,12928,88,-518,-48,25.5,77.9,68.77,241,1
2026-07-18T17:53:28.091Z,10300,412,14272,1494,167,-580,10692,704,12260,-439,110,-282,25.52,77.936,68.77,241,1
2026-07-18T17:53:28.507Z,10120,-128,15308,1757,201,-668,10800,292,12996,-144,244,-322,25.52,77.936,68.76,241,1
2026-07-18T17:53:28.686Z,9936,260,15616,2065,-522,-252,11000,844,12712,210,-83,87,25.52,77.936,68.76,241,1
2026-07-18T17:53:28.926Z,9852,208,15084,1871,-33,-500,10636,668,12716,-95,109,-208,25.5,77.9,68.75,240,1
