Timestamp,MPU1_Accel_X,MPU1_Accel_Y,MPU1_Accel_Z,MPU1_Gyro_X,MPU1_Gyro_Y,MPU1_Gyro_Z,MPU2_Accel_X,MPU2_Accel_Y,MPU2_Accel_Z,MPU2_Gyro_X,MPU2_Gyro_Y,MPU2_Gyro_Z,Temp_C,Temp_F,Humidity,Gas_Analog,Gas_Digital
2026-07-18T17:07:27.969Z,3468,428,17548,1954,-1,-362,4156,572,15656,23,97,-29,26.05,78.89,65.39,244,1
2026-07-18T17:07:28.214Z,3396,364,17604,1957,-36,-325,4164,580,15640,61,99,-47,26.05,78.89,65.4,245,1
2026-07-18T17:07:28.752Z,3416,440,17588,1977,-42,-334,4164,608,15652,66,82,-21,26.03,78.854,65.4,244,1
2026-07-18T17:07:28.990Z,3444,488,17628,1985,-12,-285,4108,644,15724,49,93,-58,26.03,78.854,65.46,244,1
2026-07-18T17:07:29.112Z,3296,412,17756,1992,-18,-324,4128,660,15644,58,55,-41,26.05,78.89,65.46,244,1
2026-07-18T17:07:29.351Z,3388,496,17604,1990,-7,-360,4164,540,15648,37,72,-22,26.02,78.836,65.5,244,1
2026-07-18T17:07:29.591Z,3344,564,17484,1983,-30,-327,4192,608,15640,47,95,-23,26.02,78.836,65.5,244,1
2026-07-18T17:07:29.833Z,3388,432,17572,1966,7,-329,4204,584,15588,33,86,-4,26.05,78.89,65.49,244,1
2026-07-18T17:07:30.013Z,3352,492,17552,1966,-23,-333,4120,576,15648,68,84,-24,26.03,78.854,65.5,244,1
2026-07-18T17:07:30.131Z,3312,480,17552,1961,7,-307,4152,612,15604,72,86,-25,26.05,78.89,65.49,243,1
2026-07-18T17:07:30.432Z,3356,436,17544,1987,10,-327,4140,680,15508,97,60,-44,26.01,78.818,65.54,244,1
2026-07-18T17:07:30.849Z,3324,448,17676,1983,-35,-357,4092,556,15628,57,101,-27,26.01,78.818,65.56,244,1
2026-07-18T17:07:31.033Z,3416,468,17576,1961,-23,-337,4132,640,15488,45,81,-33,26.02,78.836,65.54,243,1
2026-07-18T17:07:31.214Z,3372,452,17488,2003,-39,-316,4112,632,15564,70,136,-33,26.02,78.836,65.56,244,1
2026-07-18T17:07:31.392Z,3372,440,17644,2029,-28,-344,4204,640,15692,47,96,-24,26.03,78.854,65.54,243,1
2026-07-18T17:07:31.691Z,3300,484,17496,1975,-36,-341,4128,656,15592,70,85,-39,26.03,78.854,65.54,244,1
2026-07-18T17:07:32.470Z,3440,504,17560,1946,-1,-308,4196,632,15648,75,95,-15,26.05,78.89,65.53,244,1
2026-07-18T17:07:33.734Z,3372,452,17728,1977,-23,-348,4128,648,15720,28,98,-47,26.03,78.854,65.53,243,1
2026-07-18T17:07:34.031Z,3364,412,17432,1982,-4,-346,4140,648,15700,60,121,-21,26.02,78.836,65.54,243,1
2026-07-18T17:07:34.333Z,3416,496,17624,1976,-37,-336,4164,576,15620,86,72,-71,26.02,78.836,65.54,243,1
