Timestamp,Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps)
2026-07-18T11:39:21.031Z,14.8,-0.3,-2.6
2026-07-18T11:39:21.188Z,14.6,-0.2,-2.4
2026-07-18T11:39:21.344Z,14.9,-0.3,-2.4
2026-07-18T11:39:21.500Z,14.7,-0.2,-2.3
2026-07-18T11:39:21.660Z,14.9,-0.3,-2.6
2026-07-18T11:39:21.812Z,14.8,-0.8,-2.3
2026-07-18T11:39:21.968Z,14.8,-0.5,-2.2
2026-07-18T11:39:22.128Z,14.7,-0.5,-2.3
2026-07-18T11:39:22.283Z,14.6,-0.2,-2.3
2026-07-18T11:39:22.442Z,14.6,-0.5,-2.5
2026-07-18T11:39:22.596Z,14.6,-0.4,-2.3
2026-07-18T11:39:22.751Z,14.6,-0.1,-2.7
2026-07-18T11:39:22.910Z,17,3.1,-2.5
2026-07-18T11:39:23.069Z,14.3,-0.4,-2.1
2026-07-18T11:39:23.225Z,13.8,-0.3,-3.6
2026-07-18T11:39:23.380Z,13.7,-0.7,-3.2
2026-07-18T11:39:23.536Z,15.6,-0.7,-2.8
2026-07-18T11:39:23.695Z,18.1,-3.2,-5
2026-07-18T11:39:23.848Z,13.9,-1.5,-2
2026-07-18T11:39:24.007Z,14.7,-1.8,-2.6
2026-07-18T11:39:24.161Z,14.3,0.2,0.6
2026-07-18T11:39:24.314Z,16.4,1.1,2.6
2026-07-18T11:39:24.470Z,16.7,2,3.4
2026-07-18T11:39:24.627Z,14,-2.8,-3.3
2026-07-18T11:39:24.780Z,16.7,2.3,-12.2
2026-07-18T11:39:24.940Z,16.5,-0.9,-7.9
2026-07-18T11:39:25.095Z,12.8,3.1,-1
2026-07-18T11:39:25.246Z,3.2,-0.2,7.3
2026-07-18T11:39:25.405Z,17.2,6.9,-4
2026-07-18T11:39:25.561Z,24,-5.9,-6
2026-07-18T11:39:25.716Z,11.9,-10.7,-0.3
2026-07-18T11:39:25.874Z,15.4,28.8,-0.4
2026-07-18T11:39:26.031Z,14.9,-7.5,-1.5
2026-07-18T11:39:26.185Z,19.7,4.6,0
2026-07-18T11:39:26.340Z,7.3,6.2,2.2
2026-07-18T11:39:26.497Z,-5.2,-13.7,-2.9
2026-07-18T11:39:26.650Z,7.8,3.2,-0.9
2026-07-18T11:39:26.810Z,18,-15.2,-4.8
2026-07-18T11:39:26.964Z,16.7,21.8,-1.4
2026-07-18T11:39:27.116Z,21.1,9.3,-1.5
2026-07-18T11:39:27.276Z,14.7,-1.1,-2.3
2026-07-18T11:39:27.431Z,16,-12.4,1
2026-07-18T11:39:27.585Z,14.8,2,-1.5
2026-07-18T11:39:27.742Z,15.2,10.6,-5.7
2026-07-18T11:39:27.897Z,13.8,-22.4,-1.6
2026-07-18T11:39:28.052Z,17.6,19.4,-1.2
2026-07-18T11:39:28.212Z,27.3,31,-0.2
2026-07-18T11:39:28.362Z,15,-0.7,-2.3
2026-07-18T11:39:28.528Z,13.1,-2.7,-2
2026-07-18T11:39:28.680Z,15.5,0.5,-3.6
2026-07-18T11:39:28.834Z,16.3,19.6,-1.8
2026-07-18T11:39:28.995Z,22.2,-7.4,-2.7
2026-07-18T11:39:29.148Z,11.5,16.5,-1.4
2026-07-18T11:39:29.304Z,11.9,9.6,-1.3
2026-07-18T11:39:29.462Z,13.4,-3.3,-2.1
2026-07-18T11:39:29.623Z,17.5,-3.5,-1.8
2026-07-18T11:39:29.778Z,16.7,2.2,-0.5
2026-07-18T11:39:29.935Z,19.6,-16.9,-1.6
2026-07-18T11:39:30.094Z,16.4,-9.6,-4.2
2026-07-18T11:39:30.250Z,14.1,1.8,-2.3
2026-07-18T11:39:30.413Z,14.5,-3.8,-2.7
2026-07-18T11:39:30.570Z,14,1.4,-1.9
2026-07-18T11:39:30.731Z,15.9,0,-3.2
2026-07-18T11:39:30.887Z,14.3,1.5,-1.9
2026-07-18T11:39:31.045Z,14,3,-3.5
2026-07-18T11:39:31.200Z,12.1,5.7,-3.1
2026-07-18T11:39:31.361Z,15.3,1.4,-1.2
2026-07-18T11:39:31.518Z,14,-1.2,-2.8
2026-07-18T11:39:31.679Z,15.3,-0.5,-2.9
2026-07-18T11:39:31.835Z,14.1,8,-3.2
2026-07-18T11:39:31.995Z,12.7,8,-2.1
2026-07-18T11:39:32.153Z,15.5,-0.8,-3.7
2026-07-18T11:39:32.311Z,16.6,3.8,-3.4
2026-07-18T11:39:32.469Z,15.5,-7,-2.2
2026-07-18T11:39:32.629Z,22.1,-5.9,-2.2
2026-07-18T11:39:32.785Z,17.5,2.9,-2.8
2026-07-18T11:39:32.946Z,10.4,9.6,-1.3
2026-07-18T11:39:33.102Z,15.9,-3.1,-4
2026-07-18T11:39:33.263Z,15.7,-5.7,-1.8
2026-07-18T11:39:33.419Z,16.4,-8.1,-0.8
2026-07-18T11:39:33.580Z,14.8,2.8,-2.7
2026-07-18T11:39:33.734Z,14.5,6.7,-2.1
2026-07-18T11:39:33.895Z,16.1,-3.5,-2.5
2026-07-18T11:39:34.050Z,15.5,1.9,-4.2
2026-07-18T11:39:34.212Z,14.4,-1.7,-3.6
2026-07-18T11:39:34.369Z,13.8,-1.2,-0.4
2026-07-18T11:39:34.527Z,15.3,-0.9,-3.4
2026-07-18T11:39:34.688Z,14.5,-10.4,-1.9
2026-07-18T11:39:34.849Z,22,-36.7,-5
2026-07-18T11:39:35.009Z,7.2,-15.3,-2.4
2026-07-18T11:39:35.165Z,10.9,-18.5,-4.9
2026-07-18T11:39:35.316Z,21.9,-22.8,2.1
2026-07-18T11:39:35.479Z,-0.1,-26.9,0
2026-07-18T11:39:35.634Z,14.4,-9.1,-2.8
2026-07-18T11:39:35.790Z,19,-2.8,-0.5
2026-07-18T11:39:35.947Z,12.1,-12.3,2.3
2026-07-18T11:39:36.102Z,11.1,7,1.9
2026-07-18T11:39:36.257Z,45.1,-7.7,-2.5
2026-07-18T11:39:36.414Z,5.1,10,-8.6
2026-07-18T11:39:36.569Z,17.6,3,0.1
2026-07-18T11:39:36.731Z,15.3,-4.1,-2
2026-07-18T11:39:36.882Z,35.3,10.8,6.4
2026-07-18T11:39:37.040Z,15.6,13.9,-1.7
2026-07-18T11:39:37.190Z,18.3,13,1.2
2026-07-18T11:39:37.349Z,10.8,-16.4,1
2026-07-18T11:39:37.501Z,19.7,15,-1.9
2026-07-18T11:39:37.663Z,12.4,8.8,-3.6
