Timestamp,Gas_Level_Analog,Digital_Pin_Value,Status
2026-07-18T12:33:16.816Z,392,1,Safe
2026-07-18T12:33:16.922Z,393,1,Safe
2026-07-18T12:33:17.027Z,393,1,Safe
2026-07-18T12:33:17.134Z,393,1,Safe
2026-07-18T12:33:17.239Z,395,1,Safe
2026-07-18T12:33:17.344Z,395,1,Safe
2026-07-18T12:33:17.450Z,395,1,Safe
2026-07-18T12:33:17.554Z,396,1,Safe
2026-07-18T12:33:17.660Z,396,1,Safe
2026-07-18T12:33:17.766Z,397,1,Safe
2026-07-18T12:33:17.872Z,398,1,Safe
2026-07-18T12:33:17.977Z,399,1,Safe
2026-07-18T12:33:18.084Z,399,1,Safe
2026-07-18T12:33:18.188Z,399,1,Safe
2026-07-18T12:33:18.293Z,400,1,Safe
2026-07-18T12:33:18.402Z,401,1,Safe
2026-07-18T12:33:18.507Z,401,1,Safe
2026-07-18T12:33:18.618Z,402,1,Safe
2026-07-18T12:33:18.718Z,403,1,Safe
2026-07-18T12:33:18.823Z,403,1,Safe
2026-07-18T12:33:18.929Z,404,1,Safe
2026-07-18T12:33:19.035Z,404,1,Safe
2026-07-18T12:33:19.140Z,405,1,Safe
2026-07-18T12:33:19.243Z,405,1,Safe
2026-07-18T12:33:19.351Z,406,1,Safe
2026-07-18T12:33:19.455Z,406,1,Safe
2026-07-18T12:33:19.559Z,406,1,Safe
2026-07-18T12:33:19.666Z,406,1,Safe
2026-07-18T12:33:19.771Z,406,1,Safe
2026-07-18T12:33:19.877Z,407,1,Safe
2026-07-18T12:33:19.983Z,408,1,Safe
2026-07-18T12:33:20.089Z,408,1,Safe
2026-07-18T12:33:20.195Z,409,1,Safe
2026-07-18T12:33:20.302Z,408,1,Safe
2026-07-18T12:33:20.407Z,410,1,Safe
2026-07-18T12:33:20.512Z,410,1,Safe
2026-07-18T12:33:20.617Z,411,1,Safe
2026-07-18T12:33:20.721Z,411,1,Safe
2026-07-18T12:33:20.827Z,411,1,Safe
2026-07-18T12:33:20.934Z,412,1,Safe
2026-07-18T12:33:21.037Z,411,1,Safe
2026-07-18T12:33:21.143Z,412,1,Safe
2026-07-18T12:33:21.251Z,412,1,Safe
2026-07-18T12:33:21.355Z,413,1,Safe
2026-07-18T12:33:21.461Z,413,1,Safe
2026-07-18T12:33:21.568Z,413,1,Safe
2026-07-18T12:33:21.672Z,414,1,Safe
2026-07-18T12:33:21.775Z,413,1,Safe
2026-07-18T12:33:21.883Z,414,1,Safe
2026-07-18T12:33:21.986Z,414,1,Safe
2026-07-18T12:33:22.092Z,415,1,Safe
2026-07-18T12:33:22.200Z,415,1,Safe
2026-07-18T12:33:22.304Z,415,1,Safe
2026-07-18T12:33:22.408Z,416,1,Safe
2026-07-18T12:33:22.517Z,415,1,Safe
2026-07-18T12:33:22.620Z,417,1,Safe
2026-07-18T12:33:22.725Z,417,1,Safe
2026-07-18T12:33:22.833Z,418,1,Safe
2026-07-18T12:33:22.938Z,418,1,Safe
2026-07-18T12:33:23.041Z,418,1,Safe
2026-07-18T12:33:23.150Z,418,1,Safe
2026-07-18T12:33:23.253Z,419,1,Safe
2026-07-18T12:33:23.359Z,418,1,Safe
2026-07-18T12:33:23.466Z,418,1,Safe
2026-07-18T12:33:23.570Z,418,1,Safe
2026-07-18T12:33:23.675Z,420,1,Safe
2026-07-18T12:33:23.783Z,419,1,Safe
2026-07-18T12:33:23.886Z,420,1,Safe
2026-07-18T12:33:23.991Z,420,1,Safe
2026-07-18T12:33:24.101Z,420,1,Safe
2026-07-18T12:33:24.203Z,420,1,Safe
2026-07-18T12:33:24.308Z,420,1,Safe
2026-07-18T12:33:24.416Z,420,1,Safe
2026-07-18T12:33:24.520Z,421,1,Safe
2026-07-18T12:33:24.625Z,420,1,Safe
2026-07-18T12:33:24.733Z,423,1,Safe
2026-07-18T12:33:24.840Z,421,1,Safe
2026-07-18T12:33:24.942Z,421,1,Safe
2026-07-18T12:33:25.050Z,421,1,Safe
2026-07-18T12:33:25.153Z,421,1,Safe
2026-07-18T12:33:25.258Z,422,1,Safe
2026-07-18T12:33:25.367Z,421,1,Safe
2026-07-18T12:33:25.470Z,422,1,Safe
2026-07-18T12:33:25.574Z,421,1,Safe
2026-07-18T12:33:25.684Z,421,1,Safe
2026-07-18T12:33:25.787Z,421,1,Safe
2026-07-18T12:33:25.892Z,422,1,Safe
2026-07-18T12:33:26.000Z,423,1,Safe
2026-07-18T12:33:26.103Z,423,1,Safe
2026-07-18T12:33:26.208Z,422,1,Safe
2026-07-18T12:33:26.317Z,421,1,Safe
2026-07-18T12:33:26.420Z,423,1,Safe
2026-07-18T12:33:26.525Z,423,1,Safe
2026-07-18T12:33:26.633Z,422,1,Safe
2026-07-18T12:33:26.736Z,422,1,Safe
2026-07-18T12:33:26.841Z,422,1,Safe
2026-07-18T12:33:26.950Z,424,1,Safe
2026-07-18T12:33:27.052Z,421,1,Safe
2026-07-18T12:33:27.157Z,422,1,Safe
2026-07-18T12:33:27.267Z,422,1,Safe
2026-07-18T12:33:27.370Z,422,1,Safe
2026-07-18T12:33:27.474Z,423,1,Safe
2026-07-18T12:33:27.583Z,422,1,Safe
2026-07-18T12:33:27.685Z,424,1,Safe
2026-07-18T12:33:27.791Z,424,1,Safe
2026-07-18T12:33:27.899Z,423,1,Safe
2026-07-18T12:33:28.003Z,422,1,Safe
2026-07-18T12:33:28.107Z,423,1,Safe
2026-07-18T12:33:28.217Z,424,1,Safe
2026-07-18T12:33:28.319Z,423,1,Safe
2026-07-18T12:33:28.424Z,423,1,Safe
2026-07-18T12:33:28.532Z,423,1,Safe
2026-07-18T12:33:28.636Z,423,1,Safe
2026-07-18T12:33:28.741Z,423,1,Safe
2026-07-18T12:33:28.847Z,423,1,Safe
2026-07-18T12:33:28.952Z,423,1,Safe
2026-07-18T12:33:29.058Z,424,1,Safe
