Timestamp,MPU1_Accel_X,MPU1_Accel_Y,MPU1_Accel_Z,MPU1_Gyro_X,MPU1_Gyro_Y,MPU1_Gyro_Z,MPU2_Accel_X,MPU2_Accel_Y,MPU2_Accel_Z,MPU2_Gyro_X,MPU2_Gyro_Y,MPU2_Gyro_Z,Temp_C,Temp_F,Humidity,Gas_Analog,Gas_Digital
2026-07-18T17:36:54.176Z,3892,948,17536,2008,-36,-343,4732,964,15432,57,73,-38,26.3,79.34,65.14,228,1
2026-07-18T17:36:54.486Z,3856,848,17512,1986,0,-338,4692,964,15456,23,96,-80,26.3,79.34,65.14,228,1
2026-07-18T17:36:54.658Z,3852,884,17580,1955,-93,-341,4760,984,15544,83,63,7,26.3,79.34,65.14,227,1
2026-07-18T17:36:54.898Z,3960,888,17544,1978,-28,-367,4768,1056,15460,92,114,-28,26.3,79.34,65.14,227,1
2026-07-18T17:36:55.019Z,3928,852,17568,1960,-31,-361,4736,948,15580,85,94,-52,26.3,79.34,65.14,228,1
2026-07-18T17:36:55.377Z,3872,836,17592,1986,-41,-303,4744,996,15508,58,101,-16,26.3,79.34,65.14,228,1
2026-07-18T17:36:55.621Z,3852,968,17460,1966,-38,-318,4712,1020,15464,51,58,-26,26.29,79.322,65.12,227,1
2026-07-18T17:36:55.821Z,3876,932,17536,1994,-15,-342,4784,960,15540,95,68,-47,26.32,79.376,65.13,227,1
2026-07-18T17:36:55.988Z,3856,888,17612,1964,-11,-334,4724,1012,15508,83,88,-22,26.3,79.34,65.11,227,1
2026-07-18T17:36:56.097Z,3852,864,17428,1985,-46,-336,4760,1012,15556,56,59,-57,26.29,79.322,65.11,228,1
2026-07-18T17:36:56.221Z,3912,844,17596,1971,-24,-332,4712,984,15496,81,79,-16,26.3,79.34,65.11,228,1
2026-07-18T17:36:56.638Z,3876,916,17508,2006,-12,-322,4732,984,15424,67,95,-45,26.3,79.34,65.11,228,1
2026-07-18T17:36:57.059Z,3884,904,17580,1976,-19,-324,4744,912,15448,80,76,-22,26.3,79.34,65.11,227,1
2026-07-18T17:36:57.598Z,3832,920,17476,1994,-34,-339,4804,944,15448,16,118,-73,26.3,79.34,65.12,227,1
2026-07-18T17:36:57.899Z,3916,844,17572,1997,-37,-355,4696,960,15428,45,90,-12,26.33,79.39399999999999,65.12,227,1
2026-07-18T17:36:58.077Z,3892,912,17560,1967,4,-307,4760,928,15512,38,66,-36,26.3,79.34,65.11,229,1
2026-07-18T17:36:58.199Z,3876,884,17548,1966,-27,-326,4800,932,15404,44,100,-17,26.32,79.376,65.1,227,1
2026-07-18T17:36:58.376Z,3856,916,17528,1986,-31,-327,4744,1000,15524,77,105,-33,26.3,79.34,65.11,227,1
2026-07-18T17:36:59.097Z,3924,888,17432,1989,-1,-362,4748,984,15504,78,89,-64,26.3,79.34,65.12,230,1
2026-07-18T17:36:59.338Z,15820,2228,3904,3282,8776,-719,9476,-172,9560,1306,-2384,-1161,26.3,79.34,65.11,226,1
2026-07-18T17:36:59.638Z,,,,,,,4532,1236,16112,178,156,-907,26.3,79.34,65.11,226,1
2026-07-18T17:36:59.758Z,,,,,,,8196,2088,-2840,-7467,16290,-1533,26.3,79.34,65.11,225,1
2026-07-18T17:37:00.004Z,0,0,0,0,0,0,5124,-1684,13096,652,-5127,2,26.3,79.34,65.11,226,1
2026-07-18T17:37:00.298Z,0,0,0,0,0,0,8596,-284,12964,-2243,-1330,-1836,26.25,79.25,65.14,231,1
2026-07-18T17:37:00.477Z,8248,6776,1648,3248,-4745,-1371,4012,2872,12568,1381,-7647,-1313,26.25,79.25,65.17,270,1
2026-07-18T17:37:00.657Z,13280,-1676,29600,1962,13002,-2117,16172,-2732,18060,563,4205,-1480,26.25,79.25,65.18,227,1
2026-07-18T17:37:00.864Z,-2308,-1432,10220,2646,405,-3346,1736,-480,5088,220,236,-2305,26.25,79.25,65.19,227,1
2026-07-18T17:37:01.199Z,-6900,-3824,28724,-1071,-2516,-1847,-2776,-312,20588,-2497,-4590,-1865,26.25,79.25,65.19,231,1
2026-07-18T17:37:01.454Z,-7884,7848,19496,-1110,-11132,-401,2976,-876,7956,-873,405,-3172,26.27,79.286,65.19,227,1
2026-07-18T17:37:01.688Z,4076,516,18660,2111,-40,-389,5188,872,15724,139,287,-127,26.21,79.178,65.26,223,1
2026-07-18T17:37:01.921Z,-144,8076,18628,1157,-7257,20724,,,,,,,26.2,79.16,65.31,225,1
2026-07-18T17:37:02.038Z,3156,1460,15140,2070,-498,-164,0,0,0,0,0,0,26.18,79.124,65.34,226,1
2026-07-18T17:37:02.276Z,3372,360,18248,2106,25,-296,4340,456,15956,149,123,0,26.17,79.10600000000001,65.34,225,1
2026-07-18T17:37:02.887Z,14916,-14420,16780,4038,32767,2272,9824,212,22584,2146,-11107,2000,26.17,79.10600000000001,65.33,225,1
2026-07-18T17:37:03.240Z,5616,1024,15460,-368,4601,-1315,3232,3232,16572,-1944,-194,223,26.2,79.16,65.33,225,1
2026-07-18T17:37:03.721Z,776,2300,24624,105,-291,-903,,,,,,,26.18,79.124,65.33,226,1
2026-07-18T17:37:03.839Z,,,,,,,0,0,0,0,0,0,26.14,79.05199999999999,65.4,225,1
2026-07-18T17:37:04.021Z,,,,,,,7516,-9256,1488,-6464,2847,-15524,26.13,79.03399999999999,65.42,225,1
2026-07-18T17:37:04.076Z,0,0,0,0,0,0,6352,652,16168,-1137,-62,1637,26.12,79.016,65.38,226,1
2026-07-18T17:37:04.270Z,4920,1296,17672,1923,192,-546,5416,1576,15648,-35,251,-251,26.13,79.03399999999999,65.37,225,1
